ds,yhat
2019-01-01,52788.253137930136
2019-02-01,53302.85562335074
2019-03-01,62424.41844322783
2019-04-01,67083.3908668822
2019-05-01,62344.21874507044
2019-06-01,61403.03909940541
2019-07-01,62819.74449139375
2019-08-01,58076.21633892199
2019-09-01,46685.295059256736
2019-10-01,51119.73541854721
2019-11-01,53356.01553231897
2019-12-01,60099.18191886942
2020-01-01,63777.438120401566
2020-02-01,62332.97318531828
2020-03-01,68106.78382773082
2020-04-01,75187.92269580397
2020-05-01,77673.88066396517
2020-06-01,78323.26072270711
2020-07-01,67352.14270216835
2020-08-01,67397.95976501817
2020-09-01,67258.29189734829
2020-10-01,59892.29594821496
2020-11-01,67556.55638957262
2020-12-01,69917.80171015962
2021-01-01,78097.06346638336
2021-02-01,82999.90022964666
2021-03-01,84002.51007446172
2021-04-01,90633.12381376362
2021-05-01,90976.97038548319
2021-06-01,91115.78263822381
2021-07-01,84382.63991020943
2021-08-01,83016.43218801176
2021-09-01,79168.85432799326
2021-10-01,75792.38885915442
2021-11-01,81769.56096867118
2021-12-01,85698.57861462962
2022-01-01,92504.913785494
2022-02-01,95325.66749835058
2022-03-01,100510.40468621177
2022-04-01,106334.87048065089
2022-05-01,104270.0601444265
2022-06-01,103972.77419250873
2022-07-01,101461.35893896373
2022-08-01,98592.75341773267
2022-09-01,91184.79842559744
2022-10-01,91928.21843850742
2022-11-01,96287.40674133331
2022-12-01,101862.74102969043
2023-01-01,107359.79113486587
2023-02-01,108255.74612450096
2023-03-01,117721.79021633833
2023-04-01,122762.15262081643
2023-05-01,118392.06757720574
2023-06-01,117832.27790536873
2023-07-01,119618.07036881197
2023-08-01,115255.93219653092
2023-09-01,104246.40088232822
2023-10-01,109049.9283216374
2023-11-01,111667.59842398288
2023-12-01,118779.8518962804
2024-01-01,122839.49418985638
2024-02-01,121776.41534679738
2024-03-01,127906.16916633457
2024-04-01,135367.7990168799
2024-05-01,138221.97406486838
2024-06-01,138973.33319482373
2024-07-01,128100.90459800142
2024-08-01,128246.97822163958
2024-09-01,128207.5669147662
2024-10-01,120937.90780035645
2024-11-01,128701.716304321
2024-12-01,131159.14046214148
2025-01-01,139437.7870168962
2025-02-01,144440.00857865316
2025-03-01,145531.6317122175
2025-04-01,152260.79587835068
2025-05-01,152699.37761804424
2025-06-01,152936.08287775706
2025-07-01,146297.57098098643
2025-08-01,145029.14845105866
2025-09-01,141279.30602996875
2025-10-01,137997.42324395292
2025-11-01,144072.33079237517
2025-12-01,148095.8821617919
